t_s,mode,contact_err_mm,true_yaw_world_deg,held_yaw_world_deg,true_yaw_base_deg,held_yaw_base_deg,true_yaw_nominal_deg,held_yaw_nominal_deg
1.5200000000000011,open,3.2020547722077106,-1.1225189502125038e-18,0.0,-1.1225189502125038e-18,0.0,-1.1225189502125038e-18,0.0
1.5400000000000011,open,2.57967121479333,-1.2568874880357979e-18,0.0,-1.2568874880357979e-18,0.0,-1.2568874880357979e-18,0.0
1.5600000000000012,open,2.0852534300336054,-9.105419044594923e-19,0.0,-9.105419044594923e-19,0.0,-9.105419044594923e-19,0.0
1.5800000000000012,open,1.6981463126772611,2.8494484410614056e-18,0.0,2.8494484410614056e-18,0.0,2.8494484410614056e-18,0.0
1.6000000000000012,open,1.4018389877471913,3.4162846711632955e-20,0.0,3.4162846711632955e-20,0.0,3.4162846711632955e-20,0.0
1.6200000000000012,open,1.1826959406413282,-5.314591766465129e-18,0.0,-5.314591766465129e-18,0.0,-5.314591766465129e-18,0.0
1.6400000000000012,open,1.0285372738165433,9.356704899582727e-18,0.0,9.356704899582727e-18,0.0,9.356704899582727e-18,0.0
1.6600000000000013,open,0.9273989976491321,1.763848559559201e-17,0.0,1.763848559559201e-17,0.0,1.763848559559201e-17,0.0
1.6800000000000013,open,0.8671248767207559,1.651938812879419e-17,0.0,1.651938812879419e-17,0.0,1.651938812879419e-17,0.0
1.7000000000000013,open,0.8360698843199071,8.237216908157105e-18,0.0,8.237216908157105e-18,0.0,8.237216908157105e-18,0.0
1.7200000000000013,open,0.8242706238335392,-6.910984004040403e-18,0.0,-6.910984004040403e-18,0.0,-6.910984004040403e-18,0.0
1.7400000000000013,open,0.8241606767770102,-9.946185836438625e-18,0.0,-9.946185836438625e-18,0.0,-9.946185836438625e-18,0.0
1.7600000000000013,open,0.8305446496541596,-1.1345491186766284e-17,0.0,-1.1345491186766284e-17,0.0,-1.1345491186766284e-17,0.0
1.7800000000000014,open,0.8401256156313239,-1.2485256320378766e-17,0.0,-1.2485256320378766e-17,0.0,-1.2485256320378766e-17,0.0
1.8000000000000014,open,0.8509436411656119,-1.1398071139523229e-17,0.0,-1.1398071139523229e-17,0.0,-1.1398071139523229e-17,0.0
1.8200000000000014,open,0.8619084310227434,-1.0159180224605664e-17,0.0,-1.0159180224605664e-17,0.0,-1.0159180224605664e-17,0.0
1.8400000000000014,open,0.8724664276636231,-1.3369275198371056e-17,0.0,-1.3369275198371056e-17,0.0,-1.3369275198371056e-17,0.0
1.8600000000000014,open,0.8823820943280559,-1.7680888210035063e-17,0.0,-1.7680888210035063e-17,0.0,-1.7680888210035063e-17,0.0
1.8800000000000014,open,0.8916006403531171,-1.4283633061554022e-17,0.0,-1.4283633061554022e-17,0.0,-1.4283633061554022e-17,0.0
1.9000000000000015,open,0.9001643525814653,-8.082317857491072e-18,0.0,-8.082317857491072e-18,0.0,-8.082317857491072e-18,0.0
1.9200000000000015,open,0.9081627914587602,1.9987404008437484e-17,0.0,1.9987404008437484e-17,0.0,1.9987404008437484e-17,0.0
1.9400000000000015,open,0.9157038968334493,3.7424317469679477e-17,0.0,3.7424317469679477e-17,0.0,3.7424317469679477e-17,0.0
1.9600000000000015,open,0.9228929063935928,1.7994349837920306e-17,0.0,1.7994349837920306e-17,0.0,1.7994349837920306e-17,0.0
1.9800000000000015,open,0.929845829819019,2.000265649915747e-18,0.0,2.000265649915747e-18,0.0,2.000265649915747e-18,0.0
2.0000000000000013,open,0.9366494993073692,6.217429443221404e-19,0.0,6.217429443221404e-19,0.0,6.217429443221404e-19,0.0
